Time (s),q0,q1,q2,q3
4692.007,0.72762686213,-0.020969909995,-0.68565254098,0.000073664757025
4692.0625,0.72645537001,-0.025896370694,-0.68672548275,-0.00029104547092
4692.1175,0.7246699133,-0.023198919126,-0.68870553487,0.00011462221353
4692.173,0.72288677656,-0.023600418935,-0.69056329571,-0.00025122468725
4692.2285,0.72214217099,-0.023862095067,-0.69133268314,-0.000637594262
4692.284,0.72211552572,-0.021537834962,-0.69143669624,-0.00076437570739
4692.3395,0.7223679563,-0.024378834205,-0.69107778014,-0.001307655669
4692.3945,0.72169442927,-0.026071956544,-0.69171892842,-0.0015257487422
4692.45,0.72260993853,-0.024496792665,-0.69082004445,-0.0015652695328
4692.5055,0.72118096834,-0.029287262623,-0.69212433398,-0.0020429079615
4692.561,0.7198018261,-0.029004035551,-0.69357009856,-0.0021483579649
4692.6165,0.71801147635,-0.032341865082,-0.69527646709,-0.0020390924758
4692.6715,0.71701115672,-0.030604596486,-0.69638767783,-0.0016006183178
4692.727,0.71709376183,-0.02987164497,-0.69633497498,-0.0013506268714
4692.7825,0.71643069539,-0.036637739929,-0.69669433862,-0.0013165285444
4692.838,0.7182654968,-0.029990884999,-0.69512194826,-0.00083663952744
4692.8935,0.71964420484,-0.030671399151,-0.69366477997,-0.00081039926751
4692.9485,0.7185512124,-0.041254469325,-0.69424925763,-0.0004383969667
4693.004,0.72226973284,-0.031330694823,-0.69090113169,0.00066843898407
4693.0595,0.72513228751,-0.035425369487,-0.68769734727,0.00075323508819
4693.115,0.72608404053,-0.03542859525,-0.6866919381,0.00098125990142
4693.1705,0.72595906064,-0.031316848593,-0.68702318058,0.0013589044961
4693.2255,0.72556807822,-0.032587304982,-0.68737699729,0.0013765952154
4693.281,0.7287098441,-0.027498530779,-0.68426854178,0.0015351341295
4693.3365,0.72989710928,-0.029574439912,-0.68291546639,0.0014241247815
4693.392,0.72959631757,-0.028996777986,-0.6832618468,0.0012841175992
4693.4475,0.72965170427,-0.027832817466,-0.68325170115,0.00091520352949
4693.5025,0.72972853855,-0.029366868698,-0.68310590025,0.00041963567566
4693.558,0.72930802853,-0.026684278497,-0.68366492027,0.00015996992064
4693.6135,0.72709088527,-0.033960261307,-0.68570076036,-0.00011161432247
4693.669,0.72495994025,-0.028608245977,-0.68819666172,0.000089943253484
4693.7245,0.72366845876,-0.027782539083,-0.68958827691,-0.00031728394544
4693.7795,0.72144426136,-0.031567755566,-0.69175197571,-0.00092663944405
4693.835,0.72021023613,-0.029839246316,-0.69311351584,-0.00069950857052
4693.8905,0.71777247455,-0.031422426804,-0.69556782926,-0.00083711486792
4693.946,0.71598034709,-0.033536603895,-0.69731380866,-0.00094394910653
4694.0015,0.71639708826,-0.033744417936,-0.69687587489,-0.00073565898408
4694.0565,0.71525423143,-0.036546566623,-0.69790804742,-0.00030040071188
4694.112,0.71599741829,-0.030709733256,-0.69742702992,0.00038368810519
4694.1675,0.71845673639,-0.031202601126,-0.69487106059,0.00072441655632
4694.223,0.72059987754,-0.033632499483,-0.69253425072,0.00099148250134
4694.2785,0.7225244681,-0.030891963529,-0.6906530035,0.0015837767096
4694.3335,0.72542077966,-0.025273402005,-0.68783829136,0.0021053558517
4694.389,0.7301831736,-0.022600547309,-0.68287406932,0.0021803000971
4694.4445,0.73222750768,-0.024032110513,-0.68063292934,0.0020371952788
4694.5,0.73351429375,-0.016045992356,-0.67948111323,0.0021734193031
4694.5555,0.73382151343,-0.014544700548,-0.67918419505,0.0018075701122
4694.6105,0.73410917586,-0.013815242264,-0.67888878242,0.0016964983295
4694.666,0.73468155358,-0.010084140261,-0.67833579205,0.0013704653912
4694.7215,0.73148859801,-0.011004939707,-0.68176457092,0.00062619320046
4694.777,0.72838927001,-0.0057168609964,-0.68513968562,0.0000043752705838
4694.8325,0.72621972696,-0.016070200085,-0.68727451603,-0.00062965234689
4694.8875,0.72510794063,-0.01058040286,-0.68855386483,-0.00032362453948
4694.943,0.72424035495,-0.0074652984599,-0.68950719405,0.000083257763304
4694.9985,0.72359896363,-0.01627849287,-0.69002861297,-0.00025256310813
4695.054,0.72397726309,-0.011986864725,-0.68971966876,0.00012697219056
4695.1095,0.72357415411,-0.010858450342,-0.69016123872,0.000046133664856
4695.1645,0.72259277718,-0.01112642372,-0.69118432266,-0.0003364245623
4695.22,0.72141402012,-0.010761704446,-0.69242012751,-0.00060358466064
4695.2755,0.72004810502,-0.01064114861,-0.69384224836,-0.00065330002914
4695.331,0.70267582025,0.15525001627,-0.67416793607,-0.16625798645
4695.3865,0.66149638961,0.28070586644,-0.63254995926,-0.28897628297
4695.4415,0.60990254738,0.37985655123,-0.57972041909,-0.38425527826
4695.497,0.55146379193,0.46194318955,-0.51970783095,-0.46086868658
4695.5525,0.61365895596,0.37242063662,-0.58852258331,-0.37197677901
4695.608,0.65486037835,0.29283172854,-0.63190200269,-0.29344049248
4695.6635,0.67984071067,0.22595121056,-0.65902172841,-0.22902624315
4695.7185,0.69414066371,0.17414317046,-0.67545327866,-0.17778009876
4695.774,0.70297343852,0.13600573089,-0.68445613412,-0.13729743753
4695.8295,0.64136353593,0.31076581453,-0.62882384282,-0.31089869413
4695.885,0.67074927171,0.24192470012,-0.65853235199,-0.24063041235
4695.9405,0.68746625765,0.18706425351,-0.67680974922,-0.18527188944
4695.9955,0.69711625956,0.14385318023,-0.68773250666,-0.14268560707
4696.051,0.70261189228,0.11053764962,-0.69434145725,-0.109580553
4696.1065,0.64828615887,0.28805885657,-0.64443851793,-0.2853877152
