Time (s),q0,q1,q2,q3
4692.05,0.81898865142,-0.017424961372,-0.57354462258,-0.00072489071761
4692.099,0.81827970604,-0.019482764404,-0.57448922952,-0.00093259739034
4692.1485,0.81699813832,-0.020510641639,-0.57627527647,-0.00040161136358
4692.198,0.81591095367,-0.021535172491,-0.57777635612,-0.00018527314194
4692.2475,0.8155091874,-0.02164121133,-0.57833930907,-0.00025849741648
4692.297,0.8151731314,-0.019311608407,-0.57889534383,-0.000092290568954
4692.3465,0.81522019991,-0.019016153984,-0.57883879256,-0.00025253200176
4692.396,0.81543543552,-0.02004325586,-0.57850046716,-0.00072656279927
4692.4455,0.81533175067,-0.0202255246,-0.57864001021,-0.00089615552363
4692.495,0.81532913403,-0.021312318023,-0.57860451603,-0.00100116696
4692.5445,0.81506922861,-0.022514314045,-0.57892476348,-0.0011732293823
4692.594,0.81449241959,-0.023757121442,-0.57968641144,-0.0011670512198
4692.6435,0.81348417887,-0.024347282939,-0.58107617591,-0.0010855157428
4692.693,0.81278906829,-0.022456843158,-0.58212459286,-0.00076096100035
4692.7425,0.81267716539,-0.022371000598,-0.58228431832,-0.00057950681841
4692.7915,0.81256984758,-0.02257334623,-0.58242604044,-0.00077088212393
4692.841,0.81297420687,-0.021210694746,-0.5819128315,-0.00070847000795
4692.8905,0.81349835718,-0.022800509131,-0.58111949169,-0.00083428614712
4692.94,0.81349263194,-0.025348356162,-0.58102154704,-0.0010772612043
4692.9895,0.81448752249,-0.024740966252,-0.57965312901,-0.00045861726171
4693.039,0.81629401202,-0.024213941647,-0.57712890326,-0.00000084212079392
4693.0885,0.81797820108,-0.02521770425,-0.57469619613,-0.0001099984043
4693.138,0.8185739632,-0.024226242012,-0.57389001771,0.000059587367578
4693.1875,0.81843684732,-0.02350657044,-0.57411540355,0.00026740783925
4693.237,0.81855233202,-0.022524495832,-0.57399001899,0.00043002721069
4693.2865,0.81969398823,-0.022843004698,-0.57234568123,0.00061965266515
4693.336,0.82018310137,-0.02363475063,-0.57161249545,0.00048356566637
4693.3855,0.82055057499,-0.024149561506,-0.57106335127,0.00044878200839
4693.435,0.82086586614,-0.023285085169,-0.5706460604,0.00032919621872
4693.4845,0.82061869464,-0.023637112317,-0.57098707947,0.0000019252758607
4693.5335,0.82093538472,-0.023638029949,-0.57053162614,-0.00003502665615
4693.583,0.82009324296,-0.025478322127,-0.57166236074,-0.00027066820871
4693.6325,0.81871677287,-0.026256810826,-0.57359673724,-0.00045686105976
4693.682,0.81724100663,-0.025127691222,-0.57574797484,-0.000075411475234
4693.7315,0.81628341773,-0.026009688308,-0.57706571942,-0.00018310079028
4693.781,0.81491169216,-0.026860561223,-0.57896223625,-0.00041621241704
4693.8305,0.813949304,-0.025308695734,-0.58038433926,-0.00013850359923
4693.88,0.81258116605,-0.023975687856,-0.58235471571,0.0000072404261299
4693.9295,0.81141296262,-0.02512049942,-0.58393318453,0.000024343783533
4693.979,0.81147468305,-0.0250066486,-0.58385229775,0.000026683535971
4694.0285,0.81207499194,-0.027326786775,-0.58291289045,0.00012785119039
4694.078,0.81183277674,-0.025138316686,-0.58334833008,0.00057743761328
4694.1275,0.81235892462,-0.023579438325,-0.58267989736,0.0010606090874
4694.177,0.81357472168,-0.023885666816,-0.58096854568,0.0010936628874
4694.226,0.81495211213,-0.02247669316,-0.57909098516,0.0012182392673
4694.2755,0.81624260841,-0.021467096958,-0.57730825025,0.0015336735716
4694.325,0.81780467435,-0.018500229114,-0.57519579863,0.0017462450094
4694.3745,0.82098119889,-0.016528046532,-0.57071330599,0.001736981956
4694.424,0.82303141208,-0.016017574427,-0.56776851297,0.0012836317201
4694.4735,0.82423067958,-0.01473872699,-0.56606103092,0.0012107988425
4694.523,0.82482629446,-0.014348446782,-0.56520297602,0.0011410299702
4694.5725,0.82506342788,-0.014521396895,-0.56485259724,0.0010061758324
4694.622,0.82558572655,-0.013972062025,-0.56410232364,0.001248225713
4694.6715,0.82512525916,-0.013856960367,-0.56477888759,0.0010485593276
